rank,score,z_entry,tp_pts,sl_pts,time_exit_bars,total_pnl,total_trades,win_rate,sharpe,max_dd,ann_ret,profit_factor,avg_hold_hours
50,45.31,2.0,2.5,8.0,432,237744.59243999727,384,83.85,0.159,-9.3,33.1,2.303,0.84
51,45.25,1.25,4.0,8.0,288,278135.07576,602,79.07,0.156,-11.851,38.72,1.864,1.25
52,45.25,1.25,4.0,8.0,432,278135.07576,602,79.07,0.156,-11.851,38.72,1.864,1.25
53,45.25,2.0,2.5,8.0,144,237740.19647999734,385,83.64,0.159,-9.3,33.1,2.299,0.84
54,45.24,1.5,5.0,10.0,288,268609.47106000065,407,79.85,0.144,-12.048,37.4,2.112,1.61
55,45.24,1.5,5.0,10.0,432,268609.47106000065,407,79.85,0.144,-12.048,37.4,2.112,1.61
56,45.12,1.25,4.0,8.0,144,277568.1451800007,606,78.71,0.157,-11.807,38.64,1.85,1.24
57,44.94,1.5,5.0,10.0,144,263859.571000001,409,79.46,0.149,-11.674,36.74,2.077,1.58
58,44.74,1.5,2.5,6.0,288,272570.17703999596,685,78.54,0.14,-11.566,37.95,1.886,0.77
59,44.74,1.5,2.5,6.0,432,272570.17703999596,685,78.54,0.14,-11.566,37.95,1.886,0.77
60,44.73,1.5,2.5,6.0,144,273040.86347999616,687,78.46,0.139,-11.603,38.01,1.883,0.76
61,44.58,2.0,5.0,10.0,288,251976.17258000144,277,79.06,0.121,-12.244,35.08,2.48,1.55
62,44.58,2.0,5.0,10.0,432,251976.17258000144,277,79.06,0.121,-12.244,35.08,2.48,1.55
63,44.56,1.5,4.0,8.0,288,264152.6790200004,481,77.96,0.16,-10.813,36.78,1.986,1.27
64,44.56,1.5,4.0,8.0,432,264152.6790200004,481,77.96,0.16,-10.813,36.78,1.986,1.27
65,44.54,1.75,3.0,8.0,288,249875.8524000037,448,81.03,0.129,-10.818,34.79,2.092,1.03
66,44.54,1.75,3.0,8.0,432,249875.8524000037,448,81.03,0.129,-10.818,34.79,2.092,1.03
67,44.54,1.5,4.0,8.0,144,264623.3654600006,483,77.85,0.159,-10.85,36.84,1.982,1.26
68,44.49,1.75,3.0,8.0,144,249686.62854000344,450,80.89,0.129,-10.803,34.76,2.082,1.02
69,44.41,1.25,5.0,10.0,288,259640.38480000003,491,79.43,0.139,-12.968,36.15,1.899,1.62
70,44.41,1.25,5.0,10.0,432,259640.38480000003,491,79.43,0.139,-12.968,36.15,1.899,1.62
71,44.4,2.0,5.0,10.0,144,251671.8939200015,278,78.42,0.121,-12.221,35.04,2.471,1.51
72,44.25,1.25,5.0,10.0,144,259073.45422000074,495,78.99,0.139,-12.924,36.07,1.883,1.61
73,44.1,2.0,3.0,8.0,288,227196.47505999895,357,81.51,0.157,-9.352,31.63,2.201,0.97
74,44.1,2.0,3.0,8.0,432,227196.47505999895,357,81.51,0.157,-9.352,31.63,2.201,0.97
75,43.94,2.0,3.0,8.0,144,226592.36337999898,358,81.01,0.157,-9.303,31.55,2.192,0.96
76,43.89,1.75,4.0,10.0,288,240191.81892000156,366,80.05,0.126,-10.615,33.44,2.126,1.42
77,43.89,1.75,4.0,10.0,432,240191.81892000156,366,80.05,0.126,-10.615,33.44,2.126,1.42
78,43.85,1.75,4.0,10.0,144,240482.6778600014,368,79.89,0.126,-10.638,33.48,2.119,1.39
79,43.85,1.25,5.0,8.0,288,265562.46438000066,538,76.58,0.138,-12.488,36.97,1.832,1.46
80,43.85,1.25,5.0,8.0,432,265562.46438000066,538,76.58,0.138,-12.488,36.97,1.832,1.46
81,43.72,1.25,5.0,8.0,144,264995.5338000014,542,76.2,0.138,-12.444,36.89,1.818,1.45
82,43.69,2.0,2.5,6.0,288,231270.53811999623,423,79.67,0.151,-9.342,32.2,2.153,0.75
83,43.69,2.0,2.5,6.0,432,231270.53811999623,423,79.67,0.151,-9.342,32.2,2.153,0.75
84,43.65,2.0,4.0,8.0,288,228986.28345999945,313,78.91,0.167,-9.166,31.88,2.219,1.23
85,43.65,2.0,4.0,8.0,432,228986.28345999945,313,78.91,0.167,-9.166,31.88,2.219,1.23
86,43.64,2.0,2.5,6.0,144,231266.14215999626,424,79.48,0.151,-9.342,32.2,2.149,0.74
87,43.53,1.75,2.5,6.0,288,244956.65029999998,534,78.46,0.129,-10.613,34.1,1.973,0.78
88,43.53,1.75,2.5,6.0,432,244956.65029999998,534,78.46,0.129,-10.613,34.1,1.973,0.78
89,43.51,1.75,2.5,6.0,144,245362.4674399995,537,78.4,0.128,-10.645,34.16,1.967,0.77
90,43.49,2.0,4.0,8.0,144,228682.0047999995,314,78.34,0.168,-9.141,31.84,2.212,1.2
91,43.42,1.5,5.0,8.0,288,250639.36992000003,437,75.97,0.162,-9.929,34.9,1.926,1.46
92,43.42,1.5,5.0,8.0,432,250639.36992000003,437,75.97,0.162,-9.929,34.9,1.926,1.46
93,43.4,1.25,2.5,6.0,144,247594.37468000254,821,77.71,0.167,-10.982,34.47,1.647,0.83
94,43.4,1.75,5.0,10.0,288,240715.39970000144,340,78.24,0.12,-11.443,33.51,2.123,1.61
95,43.4,1.75,5.0,10.0,432,240715.39970000144,340,78.24,0.12,-11.443,33.51,2.123,1.61
96,43.39,1.25,2.5,6.0,288,247479.25364000237,820,77.68,0.168,-10.972,34.45,1.647,0.83
97,43.39,1.25,2.5,6.0,432,247479.25364000237,820,77.68,0.168,-10.972,34.45,1.647,0.83
98,43.36,1.75,5.0,10.0,144,241006.25864000127,342,78.07,0.12,-11.466,33.55,2.116,1.57
99,43.34,1.5,3.0,6.0,288,258732.24792000104,615,75.93,0.132,-12.264,36.02,1.831,0.91
100,43.34,1.5,3.0,6.0,432,258732.24792000104,615,75.93,0.132,-12.264,36.02,1.831,0.91
101,43.33,1.5,3.0,6.0,144,259202.93436000124,617,75.85,0.132,-12.3,36.09,1.828,0.89
102,43.15,1.5,5.0,8.0,144,245889.4698600003,439,75.63,0.168,-9.54,34.23,1.898,1.44
103,42.63,1.25,3.0,6.0,288,241431.17534000397,755,75.89,0.164,-11.234,33.61,1.631,0.93
104,42.63,1.25,3.0,6.0,432,241431.17534000397,755,75.89,0.164,-11.234,33.61,1.631,0.93
105,42.62,1.25,3.0,6.0,144,241721.78036000434,757,75.83,0.164,-11.258,33.65,1.631,0.92
106,42.62,2.0,5.0,8.0,288,224114.37880000137,290,76.9,0.142,-10.551,31.2,2.167,1.47
107,42.62,2.0,5.0,8.0,432,224114.37880000137,290,76.9,0.142,-10.551,31.2,2.167,1.47
108,42.51,1.25,4.0,6.0,288,248353.85660000207,668,73.65,0.173,-11.299,34.58,1.666,1.11
109,42.51,1.25,4.0,6.0,432,248353.85660000207,668,73.65,0.173,-11.299,34.58,1.666,1.11
110,42.5,1.25,4.0,6.0,144,248644.4616200025,670,73.58,0.173,-11.322,34.62,1.666,1.11
111,42.46,1.75,3.0,6.0,288,236741.95204000402,500,76.2,0.121,-10.636,32.96,1.921,0.88
112,42.46,1.75,3.0,6.0,432,236741.95204000402,500,76.2,0.121,-10.636,32.96,1.921,0.88
113,42.44,2.0,5.0,8.0,144,223810.10014000142,291,76.29,0.142,-10.526,31.16,2.161,1.44
114,42.41,1.75,3.0,6.0,144,236552.72818000376,502,76.1,0.121,-10.621,32.93,1.913,0.87
115,42.39,2.0,3.0,6.0,288,219402.07529999933,396,77.02,0.152,-9.351,30.55,2.053,0.85
116,42.39,2.0,3.0,6.0,432,219402.07529999933,396,77.02,0.152,-9.351,30.55,2.053,0.85
117,42.37,1.5,4.0,6.0,288,251080.7915800008,535,72.9,0.146,-12.035,34.96,1.824,1.12
118,42.37,1.5,4.0,6.0,432,251080.7915800008,535,72.9,0.146,-12.035,34.96,1.824,1.12
119,42.36,1.5,4.0,6.0,144,251551.478020001,537,72.81,0.145,-12.072,35.02,1.821,1.1
120,42.25,2.0,3.0,6.0,144,218797.96361999938,397,76.57,0.153,-9.301,30.46,2.045,0.83
121,42.05,2.0,4.0,6.0,288,224747.29484000008,352,73.86,0.17,-8.999,31.29,2.079,1.07
122,42.05,2.0,4.0,6.0,432,224747.29484000008,352,73.86,0.17,-8.999,31.29,2.079,1.07
123,41.98,1.75,4.0,8.0,288,220018.54714000144,387,77.0,0.126,-9.737,30.63,1.926,1.31
124,41.98,1.75,4.0,8.0,432,220018.54714000144,387,77.0,0.126,-9.737,30.63,1.926,1.31
125,41.95,1.75,4.0,8.0,144,220309.40608000127,389,76.86,0.126,-9.761,30.67,1.921,1.29
126,41.92,2.0,4.0,6.0,144,224443.01618000015,353,73.37,0.171,-8.974,31.25,2.073,1.04
