rank,score,z_entry,tp_pts,sl_pts,time_exit_bars,total_pnl,total_trades,win_rate,sharpe,max_dd,ann_ret,profit_factor,avg_hold_hours,oos_pnl,oos_trades,oos_win_rate,oos_sharpe,oos_max_dd,oos_ann_ret,oos_profit_factor
70,51.13,2.0,4.0,6.0,288,402680.6968800002,654,74.46,0.052,-12.928,63.65,2.08,0.98,,,,,,,
71,51.13,2.0,4.0,6.0,432,402680.6968800002,654,74.46,0.052,-12.928,63.65,2.08,0.98,,,,,,,
72,51.04,2.0,4.0,6.0,144,402376.4182200002,655,74.2,0.052,-12.928,63.6,2.076,0.97,,,,,,,
73,50.91,2.0,5.0,10.0,288,380490.63256000227,534,78.09,0.05,-13.195,60.14,2.07,1.36,,,,,,,
74,50.91,2.0,5.0,10.0,432,380490.63256000227,534,78.09,0.05,-13.195,60.14,2.07,1.36,,,,,,,
75,50.78,2.0,5.0,10.0,144,379561.5404800023,536,77.8,0.05,-13.195,59.99,2.059,1.34,,,,,,,
76,50.55,1.75,4.0,10.0,144,367732.3857600045,736,80.57,0.048,-13.854,58.12,1.829,1.2,,,,,,,
77,50.53,1.75,4.0,10.0,288,366891.1205400049,732,80.6,0.048,-13.854,57.99,1.833,1.22,,,,,,,
78,50.53,1.75,4.0,10.0,432,366891.1205400049,732,80.6,0.048,-13.854,57.99,1.833,1.22,,,,,,,
79,50.52,2.0,5.0,6.0,288,404649.1173799998,609,72.09,0.042,-14.221,63.96,2.065,1.14,,,,,,,
80,50.52,2.0,5.0,6.0,432,404649.1173799998,609,72.09,0.042,-14.221,63.96,2.065,1.14,,,,,,,
81,50.43,2.0,5.0,6.0,144,404344.8387199998,610,71.8,0.042,-14.221,63.91,2.062,1.12,,,,,,,
82,50.19,1.25,4.0,8.0,288,371027.0434000023,1177,79.1,0.069,-11.145,58.58,1.563,1.11,,,,,,,
83,50.19,1.25,4.0,8.0,432,371027.0434000023,1177,79.1,0.069,-11.145,58.58,1.563,1.11,,,,,,,
84,50.04,1.5,4.0,10.0,144,355913.4530800021,872,80.73,0.074,-12.1,56.2,1.667,1.24,,,,,,,
85,50.04,1.25,4.0,8.0,144,369104.949700003,1180,78.9,0.069,-11.036,58.28,1.555,1.1,,,,,,,
86,50.01,1.5,4.0,10.0,288,355012.43488000205,868,80.76,0.075,-12.1,56.06,1.669,1.26,,,,,,,
87,50.01,1.5,4.0,10.0,432,355012.43488000205,868,80.76,0.075,-12.1,56.06,1.669,1.26,,,,,,,
88,49.97,1.5,3.0,6.0,288,378802.2633400005,1172,76.88,0.056,-14.839,59.81,1.623,0.84,,,,,,,
89,49.97,1.5,3.0,6.0,432,378802.2633400005,1172,76.88,0.056,-14.839,59.81,1.623,0.84,,,,,,,
90,49.96,1.5,3.0,6.0,144,379033.0160200007,1174,76.83,0.056,-14.839,59.85,1.622,0.84,,,,,,,
91,49.7,1.25,2.5,6.0,288,366465.2937400026,1553,78.56,0.064,-13.037,57.86,1.501,0.77,,,,,,,
92,49.7,1.25,2.5,6.0,432,366465.2937400026,1553,78.56,0.064,-13.037,57.86,1.501,0.77,,,,,,,
93,49.66,1.25,2.5,6.0,144,365620.436860003,1554,78.57,0.065,-13.037,57.73,1.499,0.77,,,,,,,
94,49.52,1.25,4.0,10.0,288,346537.884020001,1064,81.2,0.07,-11.964,54.71,1.565,1.25,,,,,,,
95,49.52,1.25,4.0,10.0,432,346537.884020001,1064,81.2,0.07,-11.964,54.71,1.565,1.25,,,,,,,
96,49.36,1.25,4.0,10.0,144,344566.2352400019,1069,81.01,0.07,-11.853,54.4,1.556,1.24,,,,,,,
97,48.99,1.5,4.0,8.0,144,351330.67740000144,942,77.81,0.072,-11.198,55.47,1.614,1.12,,,,,,,
98,48.96,1.5,4.0,8.0,288,350429.6592000013,938,77.83,0.072,-11.198,55.33,1.616,1.14,,,,,,,
99,48.96,1.5,4.0,8.0,432,350429.6592000013,938,77.83,0.072,-11.198,55.33,1.616,1.14,,,,,,,
