rank,score,z_entry,tp_pts,sl_pts,time_exit_bars,total_pnl,total_trades,win_rate,sharpe,max_dd,ann_ret,profit_factor,avg_hold_hours
68,55.93,2.0,4.0,10.0,432,510591.30834000144,627,81.98,0.058,-12.72,71.09,2.481,1.18
69,55.79,2.0,4.0,10.0,144,509302.1141400014,629,81.72,0.058,-12.72,70.91,2.465,1.16
70,55.63,1.5,3.0,6.0,288,546956.9225600001,1264,78.01,0.049,-16.566,76.15,1.885,0.85
71,55.63,1.5,3.0,6.0,432,546956.9225600001,1264,78.01,0.049,-16.566,76.15,1.885,0.85
72,55.63,1.5,3.0,6.0,144,547187.6752400002,1266,77.96,0.049,-16.566,76.18,1.883,0.85
73,55.42,1.25,4.0,8.0,288,530272.7034800006,1273,80.05,0.063,-12.486,73.82,1.779,1.12
74,55.42,1.25,4.0,8.0,432,530272.7034800006,1273,80.05,0.063,-12.486,73.82,1.779,1.12
75,55.3,1.5,4.0,10.0,144,512115.00164000096,951,81.81,0.065,-12.573,71.3,1.936,1.25
76,55.27,1.5,4.0,10.0,288,511213.98344000103,947,81.84,0.065,-12.573,71.17,1.94,1.26
77,55.27,1.5,4.0,10.0,432,511213.98344000103,947,81.84,0.065,-12.573,71.17,1.94,1.26
78,55.27,1.25,4.0,8.0,144,528050.7326000013,1276,79.86,0.064,-12.392,73.52,1.769,1.11
79,55.06,1.25,4.0,10.0,288,509187.19263999915,1158,82.04,0.065,-13.113,70.89,1.808,1.25
80,55.06,1.25,4.0,10.0,432,509187.19263999915,1158,82.04,0.065,-13.113,70.89,1.808,1.25
81,55.04,2.0,4.0,6.0,288,528537.9239000004,716,76.12,0.049,-16.106,73.59,2.393,0.97
82,55.04,2.0,4.0,6.0,432,528537.9239000004,716,76.12,0.049,-16.106,73.59,2.393,0.97
83,54.96,2.0,4.0,6.0,144,528233.6452400004,717,75.87,0.049,-16.106,73.54,2.389,0.96
84,54.95,1.75,4.0,10.0,144,503934.22670000396,806,81.64,0.048,-14.164,70.16,2.103,1.21
85,54.93,1.75,4.0,10.0,288,503092.96148000436,802,81.67,0.048,-14.164,70.04,2.109,1.23
86,54.93,1.75,4.0,10.0,432,503092.96148000436,802,81.67,0.048,-14.164,70.04,2.109,1.23
87,54.92,1.25,2.5,6.0,288,526957.3153200012,1677,79.31,0.057,-15.406,73.36,1.696,0.78
88,54.92,1.25,2.5,6.0,432,526957.3153200012,1677,79.31,0.057,-15.406,73.36,1.696,0.78
89,54.9,1.25,4.0,10.0,144,506915.66667999985,1163,81.86,0.065,-13.005,70.57,1.795,1.25
90,54.87,1.25,2.5,6.0,144,525812.5812600014,1678,79.32,0.057,-15.406,73.2,1.693,0.78
91,54.3,1.5,4.0,8.0,144,507532.22596000053,1021,79.04,0.063,-12.235,70.66,1.867,1.14
92,54.27,1.5,5.0,10.0,288,498249.4503000005,869,80.32,0.062,-12.048,69.37,1.922,1.43
93,54.27,1.5,5.0,10.0,432,498249.4503000005,869,80.32,0.062,-12.048,69.37,1.922,1.43
94,54.27,1.5,4.0,8.0,288,506631.2077600005,1017,79.06,0.064,-12.235,70.54,1.87,1.15
95,54.27,1.5,4.0,8.0,432,506631.2077600005,1017,79.06,0.064,-12.235,70.54,1.87,1.15
96,54.2,2.0,5.0,10.0,288,491189.2348400025,589,79.46,0.052,-13.195,68.39,2.335,1.35
97,54.2,2.0,5.0,10.0,432,491189.2348400025,589,79.46,0.052,-13.195,68.39,2.335,1.35
98,54.08,2.0,5.0,10.0,144,490260.1427600025,591,79.19,0.052,-13.195,68.26,2.322,1.33
99,54.0,1.5,5.0,10.0,144,493294.72992000065,872,80.16,0.063,-11.811,68.68,1.904,1.42
100,53.56,2.0,5.0,6.0,288,512647.69067999994,664,73.64,0.045,-16.053,71.37,2.299,1.14
101,53.56,2.0,5.0,6.0,432,512647.69067999994,664,73.64,0.045,-16.053,71.37,2.299,1.14
102,53.48,2.0,5.0,6.0,144,512343.41202,665,73.38,0.045,-16.053,71.33,2.295,1.12
103,53.46,1.25,5.0,8.0,288,499362.69485999906,1154,77.99,0.059,-13.046,69.52,1.732,1.28
104,53.46,1.25,5.0,8.0,432,499362.69485999906,1154,77.99,0.059,-13.046,69.52,1.732,1.28
105,53.32,1.25,5.0,8.0,144,497415.9091799999,1158,77.81,0.059,-12.964,69.25,1.723,1.27
106,53.3,1.75,4.0,8.0,144,484141.33350000414,848,79.25,0.045,-14.055,67.41,1.979,1.13
107,53.27,1.75,4.0,8.0,288,483300.06828000455,844,79.27,0.045,-14.055,67.29,1.983,1.14
108,53.27,1.75,4.0,8.0,432,483300.06828000455,844,79.27,0.045,-14.055,67.29,1.983,1.14
109,53.25,1.25,3.0,6.0,288,498163.4701600059,1555,77.81,0.059,-14.21,69.35,1.653,0.87
110,53.25,1.25,3.0,6.0,432,498163.4701600059,1555,77.81,0.059,-14.21,69.35,1.653,0.87
111,53.2,1.25,3.0,6.0,144,497194.2200800062,1557,77.78,0.059,-14.21,69.22,1.65,0.86
112,53.06,1.75,5.0,10.0,288,476920.33674000227,739,79.16,0.05,-12.464,66.4,2.009,1.41
113,53.06,1.75,5.0,10.0,432,476920.33674000227,739,79.16,0.05,-12.464,66.4,2.009,1.41
114,53.04,1.75,5.0,10.0,144,477006.3753600019,742,79.11,0.05,-12.464,66.41,2.003,1.39
115,52.99,1.5,4.0,6.0,144,503850.32605999714,1116,75.09,0.056,-14.518,70.15,1.798,1.02
116,52.96,1.5,4.0,6.0,288,503019.58165999694,1114,75.13,0.056,-14.518,70.03,1.799,1.03
117,52.96,1.5,4.0,6.0,432,503019.58165999694,1114,75.13,0.056,-14.518,70.03,1.799,1.03
118,52.96,1.25,5.0,10.0,288,473657.7992599995,1062,80.32,0.061,-13.82,65.94,1.746,1.41
119,52.96,1.25,5.0,10.0,432,473657.7992599995,1062,80.32,0.061,-13.82,65.94,1.746,1.41
120,52.8,1.25,5.0,10.0,144,471386.2733000003,1067,80.13,0.061,-13.713,65.63,1.734,1.4
121,52.57,1.5,5.0,8.0,288,479886.9279999985,929,77.18,0.064,-11.234,66.81,1.814,1.31
122,52.57,1.5,5.0,8.0,432,479886.9279999985,929,77.18,0.064,-11.234,66.81,1.814,1.31
123,52.46,1.25,4.0,6.0,288,490548.2260600014,1377,75.74,0.065,-13.132,68.29,1.653,1.03
124,52.46,1.25,4.0,6.0,432,490548.2260600014,1377,75.74,0.065,-13.132,68.29,1.653,1.03
125,52.41,1.25,4.0,6.0,144,489578.97598000185,1379,75.71,0.065,-13.058,68.16,1.65,1.02
126,52.37,1.75,4.0,6.0,144,487198.2850200027,919,75.3,0.045,-15.011,67.83,1.927,1.01
127,52.36,1.75,4.0,6.0,288,486547.36812000285,917,75.35,0.045,-15.011,67.74,1.928,1.03
128,52.36,1.75,4.0,6.0,432,486547.36812000285,917,75.35,0.045,-15.011,67.74,1.928,1.03
129,52.33,2.0,5.0,8.0,288,462778.5945600027,616,77.76,0.054,-13.269,64.43,2.167,1.27
130,52.33,2.0,5.0,8.0,432,462778.5945600027,616,77.76,0.054,-13.269,64.43,2.167,1.27
131,52.31,1.5,5.0,8.0,144,474932.20761999866,932,77.04,0.065,-11.218,66.12,1.799,1.3
132,52.22,2.0,5.0,8.0,144,461849.5024800027,618,77.51,0.054,-13.269,64.3,2.156,1.25
133,51.28,1.5,5.0,6.0,144,481362.2879599963,1023,72.43,0.055,-13.597,67.02,1.756,1.17
134,51.27,1.75,5.0,8.0,288,452756.3669400017,773,76.84,0.05,-11.889,63.04,1.899,1.32
135,51.27,1.75,5.0,8.0,432,452756.3669400017,773,76.84,0.05,-11.889,63.04,1.899,1.32
136,51.26,1.75,5.0,8.0,144,452842.4055600015,776,76.8,0.05,-11.889,63.05,1.893,1.3
137,51.25,1.5,5.0,6.0,288,480531.54355999624,1021,72.48,0.055,-13.597,66.9,1.756,1.18
138,51.25,1.5,5.0,6.0,432,480531.54355999624,1021,72.48,0.055,-13.597,66.9,1.756,1.18
139,50.47,1.25,5.0,6.0,288,460858.3775599982,1250,73.28,0.061,-13.253,64.16,1.612,1.17
140,50.47,1.25,5.0,6.0,432,460858.3775599982,1250,73.28,0.061,-13.253,64.16,1.612,1.17
141,50.41,1.25,5.0,6.0,144,459889.1274799986,1252,73.24,0.062,-13.179,64.03,1.609,1.16
142,50.22,1.75,5.0,6.0,144,454797.2063800021,847,72.61,0.05,-12.441,63.32,1.837,1.16
143,50.2,1.75,5.0,6.0,288,454146.28948000236,845,72.66,0.05,-12.441,63.23,1.838,1.18
144,50.2,1.75,5.0,6.0,432,454146.28948000236,845,72.66,0.05,-12.441,63.23,1.838,1.18
