rank,score,z_entry,tp_pts,sl_pts,time_exit_bars,total_pnl,total_trades,win_rate,sharpe,max_dd,ann_ret,profit_factor,avg_hold_hours
1,59.31,2.0,2.5,8.0,288,571379.1723999977,785,84.08,0.046,-17.847,79.56,2.728,0.8
2,59.31,2.0,2.5,8.0,432,571379.1723999977,785,84.08,0.046,-17.847,79.56,2.728,0.8
3,59.21,2.0,2.5,8.0,144,570029.9133399976,787,83.99,0.046,-17.847,79.37,2.71,0.79
4,59.05,1.75,2.5,10.0,288,566193.2444800026,970,85.88,0.049,-16.033,78.83,2.34,0.87
5,59.05,1.75,2.5,10.0,432,566193.2444800026,970,85.88,0.049,-16.033,78.83,2.34,0.87
6,59.04,1.25,2.5,10.0,288,579773.0300399987,1388,85.66,0.066,-14.239,80.72,1.978,0.98
7,59.04,1.25,2.5,10.0,432,579773.0300399987,1388,85.66,0.066,-14.239,80.72,1.978,0.98
8,59.03,1.75,2.5,10.0,144,566309.4734200019,975,85.85,0.049,-16.033,78.85,2.329,0.86
9,59.01,1.25,2.5,10.0,144,579395.1181799991,1395,85.59,0.066,-14.239,80.66,1.967,0.97
10,58.96,1.75,2.5,8.0,288,574563.596960003,1015,84.33,0.046,-16.863,79.99,2.31,0.82
11,58.96,1.75,2.5,8.0,432,574563.596960003,1015,84.33,0.046,-16.863,79.99,2.31,0.82
12,58.94,1.75,2.5,8.0,144,574679.8259000023,1020,84.31,0.046,-16.863,80.01,2.299,0.81
13,58.79,2.0,3.0,8.0,288,569973.7034000007,748,82.62,0.043,-18.455,79.36,2.685,0.88
14,58.79,2.0,3.0,8.0,432,569973.7034000007,748,82.62,0.043,-18.455,79.36,2.685,0.88
15,58.64,2.0,3.0,8.0,144,568384.6761800008,750,82.4,0.043,-18.455,79.13,2.665,0.87
16,58.42,1.5,2.5,10.0,288,558255.9310999973,1153,85.69,0.061,-13.24,77.72,2.07,0.95
17,58.42,1.5,2.5,10.0,432,558255.9310999973,1153,85.69,0.061,-13.24,77.72,2.07,0.95
18,58.41,1.5,2.5,10.0,144,558556.9575799973,1157,85.65,0.061,-13.24,77.77,2.064,0.94
19,58.36,1.25,2.5,8.0,288,585545.7182199998,1518,83.66,0.059,-15.377,81.52,1.89,0.88
20,58.36,1.25,2.5,8.0,432,585545.7182199998,1518,83.66,0.059,-15.377,81.52,1.89,0.88
21,58.33,1.25,2.5,8.0,144,585457.3862800003,1523,83.59,0.059,-15.377,81.51,1.885,0.87
22,58.19,1.5,2.5,8.0,288,567457.2489999977,1251,83.61,0.059,-13.615,79.0,2.005,0.85
23,58.19,1.5,2.5,8.0,432,567457.2489999977,1251,83.61,0.059,-13.615,79.0,2.005,0.85
24,58.19,1.5,2.5,8.0,144,567758.2754799979,1255,83.59,0.059,-13.615,79.05,2.0,0.84
25,58.11,2.0,2.5,10.0,288,536370.48828,744,85.48,0.057,-12.991,74.68,2.622,0.87
26,58.11,2.0,2.5,10.0,432,536370.48828,744,85.48,0.057,-12.991,74.68,2.622,0.87
27,58.07,2.0,2.5,6.0,288,566982.6281999958,850,80.71,0.043,-18.055,78.95,2.596,0.72
28,58.07,2.0,2.5,6.0,432,566982.6281999958,850,80.71,0.043,-18.055,78.95,2.596,0.72
29,58.04,2.0,2.5,6.0,144,566978.2322399959,851,80.61,0.043,-18.055,78.95,2.593,0.71
30,58.01,2.0,2.5,10.0,144,535021.22922,746,85.39,0.057,-12.991,74.5,2.605,0.86
31,57.75,1.75,3.0,10.0,288,547699.9633400061,904,84.4,0.048,-15.271,76.25,2.257,0.99
32,57.75,1.75,3.0,10.0,432,547699.9633400061,904,84.4,0.048,-15.271,76.25,2.257,0.99
33,57.71,1.75,3.0,10.0,144,547341.1899200056,908,84.36,0.048,-15.271,76.2,2.246,0.98
34,57.48,2.0,3.0,6.0,288,563551.3178199998,803,79.2,0.041,-18.631,78.46,2.565,0.79
35,57.48,2.0,3.0,6.0,432,563551.3178199998,803,79.2,0.041,-18.631,78.46,2.565,0.79
36,57.4,1.75,3.0,8.0,288,551230.1063400074,950,82.74,0.046,-16.069,76.75,2.206,0.93
37,57.4,1.75,3.0,8.0,432,551230.1063400074,950,82.74,0.046,-16.069,76.75,2.206,0.93
38,57.39,2.0,3.0,6.0,144,562947.2061399999,804,78.98,0.041,-18.631,78.38,2.559,0.79
39,57.36,1.75,3.0,8.0,144,550871.332920007,954,82.7,0.046,-16.069,76.7,2.196,0.92
40,57.33,2.0,3.0,10.0,288,529883.4045600015,703,84.07,0.052,-13.983,73.77,2.557,0.96
41,57.33,2.0,3.0,10.0,432,529883.4045600015,703,84.07,0.052,-13.983,73.77,2.557,0.96
42,57.18,2.0,3.0,10.0,144,528294.3773400014,705,83.83,0.052,-13.983,73.55,2.539,0.95
43,57.1,1.25,3.0,10.0,288,540865.5773400022,1299,84.3,0.066,-13.046,75.3,1.878,1.07
44,57.1,1.25,3.0,10.0,432,540865.5773400022,1299,84.3,0.066,-13.046,75.3,1.878,1.07
45,56.98,1.25,3.0,10.0,144,539021.5896000025,1303,84.19,0.066,-13.035,75.04,1.866,1.07
46,56.92,1.75,2.5,6.0,144,555701.5636600006,1103,80.51,0.044,-16.727,77.37,2.137,0.73
47,56.9,1.75,2.5,6.0,288,554935.6885600011,1100,80.55,0.044,-16.727,77.26,2.139,0.74
48,56.9,1.75,2.5,6.0,432,554935.6885600011,1100,80.55,0.044,-16.727,77.26,2.139,0.74
49,56.83,1.5,3.0,10.0,288,533396.6126200036,1061,84.07,0.062,-13.164,74.26,1.988,1.07
50,56.83,1.5,3.0,10.0,432,533396.6126200036,1061,84.07,0.062,-13.164,74.26,1.988,1.07
51,56.83,1.5,3.0,10.0,144,533697.6391000038,1065,84.04,0.062,-13.164,74.3,1.982,1.06
52,56.82,1.25,3.0,8.0,288,549444.9069600058,1413,82.17,0.062,-13.375,76.49,1.814,0.97
53,56.82,1.25,3.0,8.0,432,549444.9069600058,1413,82.17,0.062,-13.375,76.49,1.814,0.97
54,56.8,2.0,4.0,8.0,288,541475.5377000012,665,80.15,0.048,-16.897,75.39,2.545,1.08
55,56.8,2.0,4.0,8.0,432,541475.5377000012,665,80.15,0.048,-16.897,75.39,2.545,1.08
56,56.7,1.25,3.0,8.0,144,547650.4743000062,1415,82.05,0.062,-13.375,76.24,1.806,0.96
57,56.68,1.5,2.5,6.0,144,560168.6086199922,1378,79.61,0.053,-14.97,77.99,1.905,0.75
58,56.67,2.0,4.0,8.0,144,540186.3435000012,667,79.91,0.048,-16.897,75.21,2.528,1.06
59,56.65,1.5,2.5,6.0,288,559337.864219992,1376,79.65,0.053,-14.97,77.87,1.905,0.75
60,56.65,1.5,2.5,6.0,432,559337.864219992,1376,79.65,0.053,-14.97,77.87,1.905,0.75
61,56.45,1.75,3.0,6.0,288,554003.4406800064,1033,79.09,0.04,-17.293,77.13,2.132,0.82
62,56.45,1.75,3.0,6.0,432,554003.4406800064,1033,79.09,0.04,-17.293,77.13,2.132,0.82
63,56.43,1.75,3.0,6.0,144,553814.327220006,1035,79.03,0.04,-17.293,77.11,2.128,0.81
64,56.36,1.5,3.0,8.0,144,537888.6595800046,1156,81.83,0.06,-13.828,74.89,1.918,0.95
65,56.35,1.5,3.0,8.0,288,537587.6331000045,1152,81.86,0.06,-13.828,74.85,1.923,0.96
66,56.35,1.5,3.0,8.0,432,537587.6331000045,1152,81.86,0.06,-13.828,74.85,1.923,0.96
67,55.93,2.0,4.0,10.0,288,510591.30834000144,627,81.98,0.058,-12.72,71.09,2.481,1.18
