datetime,near_open,near_high,near_low,near_close,near_vol,near_hold,symbol_x,far_open,far_high,far_low,far_close,far_vol,far_hold,symbol_y,product,near_symbol,far_symbol,raw_basis,raw_annualized_rate,dividend_adjusted_basis,adj_annualized_rate,dividend_between,days_to_near_expiry,days_to_far_expiry,near_expiry,far_expiry
2026-03-25 13:50:00,7573.6,7580.4,7552.0,7563.0,1983,150164,IC2606,7403.4,7407.0,7374.8,7386.0,381,65606,IC2609,IC,IC2606,IC2609,-177.0,-9.387082572326522,-159.0,-8.432464005649248,18.0,55,146,2026-06-19,2026-09-18
2026-03-25 13:55:00,7548.6,7548.6,7532.0,7540.8,579,150583,IC2606,7386.0,7386.6,7356.8,7365.0,76,65725,IC2609,IC,IC2606,IC2609,-175.80000000000018,-9.350889403403734,-157.80000000000018,-8.39346045424977,18.0,55,146,2026-06-19,2026-09-18
2026-03-25 14:00:00,7539.6,7570.2,7536.6,7568.2,1363,150741,IC2606,7365.0,7395.0,7359.8,7391.2,256,65797,IC2609,IC,IC2606,IC2609,-177.0,-9.380632844600498,-159.0,-8.426670182437736,18.0,55,146,2026-06-19,2026-09-18
2026-03-25 14:05:00,7567.4,7576.0,7553.4,7558.8,700,150923,IC2606,7391.2,7399.6,7376.0,7380.4,88,65827,IC2609,IC,IC2606,IC2609,-178.40000000000055,-9.466587812357009,-160.40000000000055,-8.511438817836686,18.0,55,146,2026-06-19,2026-09-18
2026-03-25 14:10:00,7558.0,7558.0,7544.6,7550.2,346,151004,IC2606,7380.4,7381.6,7368.0,7373.6,100,65863,IC2609,IC,IC2606,IC2609,-176.59999999999945,-9.381746964857317,-158.59999999999945,-8.425510014871856,18.0,55,146,2026-06-19,2026-09-18
2026-03-25 14:15:00,7551.0,7558.0,7533.2,7533.2,1174,151171,IC2606,7373.6,7382.0,7360.0,7361.4,235,65944,IC2609,IC,IC2606,IC2609,-171.80000000000018,-9.147346573672712,-153.80000000000018,-8.188951705651125,18.0,55,146,2026-06-19,2026-09-18
2026-03-25 14:20:00,7545.6,7554.0,7543.2,7545.4,208,151450,IC2606,7358.0,7378.0,7356.6,7372.4,43,66050,IC2609,IC,IC2606,IC2609,-173.0,-9.196346103600856,-155.0,-8.23950084426666,18.0,55,146,2026-06-19,2026-09-18
2026-03-25 14:25:00,7546.0,7558.8,7544.6,7551.4,751,151686,IC2606,7372.4,7383.0,7369.0,7372.8,189,66114,IC2609,IC,IC2606,IC2609,-178.59999999999945,-9.48648776866058,-160.59999999999945,-8.53040277517855,18.0,55,146,2026-06-19,2026-09-18
2026-03-25 14:30:00,7551.8,7553.8,7542.2,7544.2,593,151744,IC2606,7373.0,7376.8,7366.0,7368.4,162,66195,IC2609,IC,IC2606,IC2609,-175.80000000000018,-9.346675169426431,-157.80000000000018,-8.389677711805978,18.0,55,146,2026-06-19,2026-09-18
2026-03-25 14:35:00,7544.2,7559.0,7543.6,7559.0,1056,151915,IC2606,7368.4,7380.0,7364.0,7380.0,288,66314,IC2609,IC,IC2606,IC2609,-179.0,-9.498174797817608,-161.0,-8.543051075132038,18.0,55,146,2026-06-19,2026-09-18
