datetime,near_open,near_high,near_low,near_close,near_vol,near_hold,symbol_x,far_open,far_high,far_low,far_close,far_vol,far_hold,symbol_y,product,near_symbol,far_symbol,raw_basis,raw_annualized_rate,dividend_adjusted_basis,adj_annualized_rate,dividend_between,days_to_near_expiry,days_to_far_expiry,near_expiry,far_expiry
2026-03-25 13:50:00,7517.6,7523.0,7494.8,7503.2,3170,188556,IM2606,7299.8,7303.8,7276.6,7279.8,468,94275,IM2609,IM,IM2606,IM2609,-223.39999999999964,-11.942303884408565,-210.39999999999964,-11.24736229758085,13.0,55,146,2026-06-19,2026-09-18
2026-03-25 13:55:00,7490.2,7491.0,7474.0,7481.8,851,189269,IM2606,7271.0,7271.0,7257.0,7264.0,211,94406,IM2609,IM,IM2606,IM2609,-217.80000000000018,-11.676246445954279,-204.80000000000018,-10.979317135589698,13.0,55,146,2026-06-19,2026-09-18
2026-03-25 14:00:00,7481.0,7507.6,7480.0,7505.6,2506,189707,IM2606,7263.2,7288.0,7262.2,7285.6,317,94455,IM2609,IM,IM2606,IM2609,-220.0,-11.756789362843508,-207.0,-11.062069991402753,13.0,55,146,2026-06-19,2026-09-18
2026-03-25 14:05:00,7505.6,7512.0,7491.2,7495.0,805,190209,IM2606,7285.6,7292.8,7272.0,7276.6,28,94540,IM2609,IM,IM2606,IM2609,-218.39999999999964,-11.687791861240807,-205.39999999999964,-10.992089964738376,13.0,55,146,2026-06-19,2026-09-18
2026-03-25 14:10:00,7495.6,7495.6,7482.2,7482.8,452,190541,IM2606,7276.6,7276.6,7264.2,7265.8,74,94608,IM2609,IM,IM2606,IM2609,-217.0,-11.631803808529098,-204.0,-10.934967635667906,13.0,55,146,2026-06-19,2026-09-18
2026-03-25 14:15:00,7483.8,7494.2,7467.0,7472.0,2121,190957,IM2606,7266.0,7274.6,7251.0,7255.6,358,94758,IM2609,IM,IM2606,IM2609,-216.39999999999964,-11.616408217050594,-203.39999999999964,-10.91856483987103,13.0,55,146,2026-06-19,2026-09-18
2026-03-25 14:20:00,7471.6,7488.2,7467.0,7483.2,389,191363,IM2606,7252.8,7269.0,7251.0,7265.0,115,94809,IM2609,IM,IM2606,IM2609,-218.19999999999982,-11.695501953680262,-205.19999999999982,-10.998703028850548,13.0,55,146,2026-06-19,2026-09-18
2026-03-25 14:25:00,7482.0,7495.0,7480.0,7485.4,1282,191645,IM2606,7265.0,7275.2,7261.8,7265.4,218,94890,IM2609,IM,IM2606,IM2609,-220.0,-11.78851607686406,-207.0,-11.091921945049366,13.0,55,146,2026-06-19,2026-09-18
2026-03-25 14:30:00,7486.0,7491.4,7480.0,7486.4,899,191860,IM2606,7267.8,7272.2,7260.8,7266.0,159,94914,IM2609,IM,IM2606,IM2609,-220.39999999999964,-11.808372221922106,-207.39999999999964,-11.111871138051926,13.0,55,146,2026-06-19,2026-09-18
2026-03-25 14:35:00,7485.6,7498.2,7484.6,7497.0,1598,192201,IM2606,7266.0,7278.8,7263.8,7277.0,322,95014,IM2609,IM,IM2606,IM2609,-220.0,-11.77027587591813,-207.0,-11.074759574159334,13.0,55,146,2026-06-19,2026-09-18
2026-03-25 14:40:00,7497.6,7498.0,7483.2,7491.4,229,192492,IM2606,7277.0,7278.0,7262.0,7269.4,78,95144,IM2609,IM,IM2606,IM2609,-222.0,-11.886156932476712,-209.0,-11.190120715710057,13.0,55,146,2026-06-19,2026-09-18
2026-03-25 14:45:00,7493.2,7497.2,7489.6,7492.6,1184,192893,IM2606,7269.6,7277.0,7269.6,7273.8,2,95139,IM2609,IM,IM2606,IM2609,-218.80000000000018,-11.712948717459842,-205.80000000000018,-11.017023976477311,13.0,55,146,2026-06-19,2026-09-18
2026-03-25 14:50:00,7492.6,7497.6,7491.0,7497.0,60,193150,IM2606,7274.4,7277.4,7270.2,7276.0,405,95186,IM2609,IM,IM2606,IM2609,-221.0,-11.823777129899577,-208.0,-11.128260828140778,13.0,55,146,2026-06-19,2026-09-18
2026-03-25 14:55:00,7496.6,7496.6,7487.4,7495.2,1376,193437,IM2606,7277.0,7277.2,7268.0,7276.2,218,95286,IM2609,IM,IM2606,IM2609,-219.0,-11.719588448695076,-206.0,-11.023905116124135,13.0,55,146,2026-06-19,2026-09-18
2026-03-25 15:00:00,7495.8,7503.0,7477.4,7477.4,2522,194128,IM2606,7277.4,7283.2,7252.4,7253.0,794,95341,IM2609,IM,IM2606,IM2609,-224.39999999999964,-12.037151069434998,-211.39999999999964,-11.339811658104093,13.0,55,146,2026-06-19,2026-09-18
2026-03-26 09:35:00,7463.8,7508.0,7448.4,7491.4,163,189305,IM2606,7250.2,7288.0,7230.0,7270.2,1929,94347,IM2609,IM,IM2606,IM2609,-221.19999999999982,-11.84332393452183,-208.19999999999982,-11.147287717755177,13.0,55,146,2026-06-19,2026-09-18
2026-03-26 09:40:00,7491.8,7515.0,7491.8,7514.2,74,187898,IM2606,7272.6,7295.8,7272.0,7295.8,899,93924,IM2609,IM,IM2606,IM2609,-218.39999999999964,-11.65792765696945,-205.39999999999964,-10.96400339167365,13.0,55,146,2026-06-19,2026-09-18
2026-03-26 09:45:00,7515.0,7527.6,7495.0,7497.2,156,186311,IM2606,7293.4,7313.0,7270.0,7277.0,830,93667,IM2609,IM,IM2606,IM2609,-220.19999999999982,-11.780661850021067,-207.19999999999982,-11.085164102290486,13.0,55,146,2026-06-19,2026-09-18
2026-03-26 09:50:00,7497.4,7505.8,7486.4,7492.8,514,185458,IM2606,7277.0,7286.0,7267.4,7274.0,483,93528,IM2609,IM,IM2606,IM2609,-218.80000000000018,-11.712636072021091,-205.80000000000018,-11.016729906864445,13.0,55,146,2026-06-19,2026-09-18
2026-03-26 09:55:00,7508.6,7514.2,7498.0,7507.8,544,184802,IM2606,7287.2,7292.2,7263.0,7285.6,405,93463,IM2609,IM,IM2606,IM2609,-222.19999999999982,-11.870877730383834,-209.19999999999982,-11.176361931576496,13.0,55,146,2026-06-19,2026-09-18
2026-03-26 10:00:00,7507.8,7527.6,7507.0,7526.8,687,183810,IM2606,7285.6,7304.2,7285.6,7304.2,406,93349,IM2609,IM,IM2606,IM2609,-222.60000000000036,-11.862227690999564,-209.60000000000036,-11.169465067535977,13.0,55,146,2026-06-19,2026-09-18
2026-03-26 10:05:00,7518.2,7523.8,7509.2,7515.2,942,183108,IM2606,7304.2,7306.6,7287.2,7293.6,564,93089,IM2609,IM,IM2606,IM2609,-221.59999999999945,-11.827165808430417,-208.59999999999945,-11.133333879235488,13.0,55,146,2026-06-19,2026-09-18
2026-03-26 10:10:00,7516.4,7521.6,7503.6,7508.2,63,182733,IM2606,7293.6,7298.6,7282.6,7284.2,311,92998,IM2609,IM,IM2606,IM2609,-224.0,-11.966403911210922,-211.0,-11.271925112792431,13.0,55,146,2026-06-19,2026-09-18
2026-03-26 10:15:00,7507.2,7520.8,7503.6,7510.4,1492,182453,IM2606,7283.4,7296.6,7280.2,7285.2,256,92914,IM2609,IM,IM2606,IM2609,-225.19999999999982,-12.02698558365366,-212.19999999999982,-11.332710216924095,13.0,55,146,2026-06-19,2026-09-18
2026-03-26 10:20:00,7511.8,7512.8,7491.6,7493.2,80,182237,IM2606,7285.0,7288.8,7270.0,7270.8,411,92835,IM2609,IM,IM2606,IM2609,-222.39999999999964,-11.904713020391215,-209.39999999999964,-11.208844003911512,13.0,55,146,2026-06-19,2026-09-18
2026-03-26 10:25:00,7491.6,7507.8,7485.6,7486.4,42,181989,IM2606,7271.6,7285.6,7263.6,7264.0,390,92783,IM2609,IM,IM2606,IM2609,-222.39999999999964,-11.91552623482521,-209.39999999999964,-11.21902515095503,13.0,55,146,2026-06-19,2026-09-18
2026-03-26 10:30:00,7485.8,7492.6,7479.0,7484.4,50,181814,IM2606,7263.0,7270.0,7258.0,7263.4,477,92732,IM2609,IM,IM2606,IM2609,-221.0,-11.843682478603114,-208.0,-11.1469952739794,13.0,55,146,2026-06-19,2026-09-18
2026-03-26 10:35:00,7490.8,7497.4,7471.6,7476.0,2089,181822,IM2606,7264.8,7275.0,7251.2,7252.2,435,92646,IM2609,IM,IM2606,IM2609,-223.80000000000018,-12.007214294533725,-210.80000000000018,-11.309744295298076,13.0,55,146,2026-06-19,2026-09-18
2026-03-26 10:40:00,7475.8,7483.6,7460.0,7468.2,1604,181687,IM2606,7252.2,7261.2,7240.2,7245.2,510,92520,IM2609,IM,IM2606,IM2609,-223.0,-11.97678891098992,-210.0,-11.278590454295442,13.0,55,146,2026-06-19,2026-09-18
2026-03-26 10:45:00,7468.2,7481.0,7464.2,7473.4,1643,181519,IM2606,7245.2,7258.2,7242.2,7250.4,387,92419,IM2609,IM,IM2606,IM2609,-223.0,-11.968455447996218,-210.0,-11.27074279856146,13.0,55,146,2026-06-19,2026-09-18
2026-03-26 10:50:00,7473.6,7481.8,7465.0,7470.6,210,181478,IM2606,7250.4,7258.8,7241.8,7247.8,381,92345,IM2609,IM,IM2606,IM2609,-222.80000000000018,-11.96220319182331,-209.80000000000018,-11.264229037901842,13.0,55,146,2026-06-19,2026-09-18
2026-03-26 10:55:00,7472.4,7475.0,7461.6,7468.4,4,181587,IM2606,7247.8,7251.2,7238.6,7244.2,426,92340,IM2609,IM,IM2606,IM2609,-224.19999999999982,-12.040915540995869,-211.19999999999982,-11.342735781705295,13.0,55,146,2026-06-19,2026-09-18
2026-03-26 11:00:00,7468.4,7468.4,7451.0,7464.4,3,181358,IM2606,7244.2,7245.0,7228.0,7240.8,584,92356,IM2609,IM,IM2606,IM2609,-223.59999999999945,-12.015127041117044,-210.59999999999945,-11.316573143377678,13.0,55,146,2026-06-19,2026-09-18
2026-03-26 11:05:00,7464.4,7472.0,7456.8,7464.2,575,181284,IM2606,7240.8,7246.8,7231.8,7239.8,59,92347,IM2609,IM,IM2606,IM2609,-224.39999999999964,-12.058438065243864,-211.39999999999964,-11.359865450055938,13.0,55,146,2026-06-19,2026-09-18
